Ethylene glycol,62.07 g/mol,C2H6O2
Nickel sulfate,154.75 g/mol,NiSO4
Helium,atomic mass 4.002602 u,He
Iodide,253.809 g/mol,I–
Lead ii acetate,325.29 g/mol,Pb(C2H3O2)2
Lithium chloride,42.394 g/mol,LiCl
Phosphate ion,94.9714 g/mol,PO43-
Potassium fluoride,58.0967 g/mol,KF
Potassium sulfite,158.26 g/mol,K2SO3
Silver carbonate,275.7453 g/mol,Ag2CO3
Sodium cyanide,49.0072 g/mol,NaCN
Sodium nitride,82.976 g/mol,Na3N
Strontium chloride,158.52 g/mol,SrCl2
Strontium nitrate,211.628 g/mol,Sr(NO3)2
Urea,60.056 g/mol,CH4N2O
Bleach,74.439 g/mol,NaClO
Lithium bromide,86.844 g/mol,LiBr
Aluminum fluoride,83.9767 g/mol,AlF3
Barium fluoride,175.34 g/mol,BaF2
Butanoic acid,88.11 g/mol,C4H8O2
Calcium hydride,42.094 g/mol,CaH2
Copper ii carbonate,123.55 g/mol,CuCO3
Fluorine,18.998403 u,F
Lithium phosphate,115.79 g/mol,Li3PO4
Glycerol,92.09382 g/mol,C3H8O3
Hypobromous acid,96.911 g/mol,HBrO
Hypoiodous acid,143.89 g/mol,HIO
Lead iodide,461.01 g/mol,PbI2
Lithium iodide,133.844 g/mol,LiI
Magnesium oxide,40.3044 g/mol,MgO
Urethane,89.09 g/mol,C3H7NO2
Nickel nitrate,182.703 g/mol,Ni(NO3)2
Sodium dichromate,261.97 g/mol,Na2Cr2O7
Tartaric acid,150.087 g/mol,C4H6O6
Zinc iodide,319.22 g/mol,ZnI2
Bromine,54.9380 g/mol,Br
Aluminum bromide,266.69 g/mol,AlBr3
Sodium Percarbonate,157.01 g/mol,C2H6Na4O12
Nickel acetate,178.797 g/mol,C4H6O4Ni
Sodium Thiosulfate,158.11 g/mol,Na2S2O3
Acetaldehyde,44.05 g/mol,C2H4O
Copper sulfate,159.609 g/mol,CuSO4
Mannitol,182.172 g/mol,C6H14O6
Calcium Chloride,110.98 g/mol,CaCl2
Monosodium Glutamate,169.111 g/mol,C5H8NO4Na
Polystyrene,104.1 g/mol,(C8H8)n
Calcium Carbide,64.099 g/mol,CaC2
Tetrachloroethylene,165.83 g/mol,C2Cl4
Sodium Chlorate,106.44 g/mol,NaClO3
Potassium Iodate,214.001 g/mol,KIO3
Lead Acetate,325.29 g/mol,Pb(C2H3O2)2
Potassium Thiocyanate,97.181 g/mol,KSCN
Butane,58.12 g/mol,C4H10
Maltose,342.3 g/mol,C12H22O11
Polyurethane Foam,548.589 g/mol,C27H36N2O10
Formaldehyde,30.031 g/mol,CH2O
Formic Acid,46.03 g/mol,HCOOH
Sulfur Hexafluoride,146.06 g/mol,SF6
Phosphorus Trichloride,137.33 g/mol,PCl3
Ethane,30.07 g/mol,C2H6
Dinitrogen Pentoxide,30.07 g/mol,N2O5
Phosphorous Acid,82 g/mol,H3PO3
Potassium Ferrocyanide,368.35 g/mol,K4Fe(CN)6
Xenon Difluoride,169.29 g/mol,XeF2
Diatomic Bromine,159.808 g/mol,Br2
Phenyl,77.106 g/mol,C6H5
Phosphorus Triiodide,411.6872 g/mol,PI3
Peroxydisulfuric Acid,194.14 g/mol,H2S2O8
Dipotassium Phosphate,174.2 g/mol,K2HPO4
Aluminium hydroxide,78.00 g/mol,Al(OH)3
Ammonium persulfate,228.18 g/mol,(NH4)2S2O8
Sodium borate,201.22 g/mol,Na2[B4O5(OH)4]·8H2O
Chloroacetic acid,94.49 g/mol,C2H3O2Cl
Potassium acetate,98.142 g/mol,CH3CO2K
Barium oxide,153.326 g/mol,BaO
Copper(I) Oxide,143.09 g/mol,Cu2O
Copper Hydroxide,97.561 g/mol,Cu(OH)2
Tin Oxide,97.561 g/mol,SnO2
Chlorine Trifluoride,92.448 g/mol,ClF3
Ethylene,28.054 g/mol,C2H4
Acetylene,26.038 g/mol,C2H2
Chromic Oxide,151.9904 g/mol,Cr2O3
Sodium bisulfate,120.06 g/mol,NaHSO4
Copper (II) chloride,134.45 g/mol,CuCl2
Mercuric chloride,271.52 g/mol,HgCl2
Tin (II) chloride,189.60 g/mol,SnCl2
Propane,44.097 g/mol,C3H8
Lead (IV) oxide,239.1988 g/mol,PbO2
